Include Background
0.  
0. 0.0930967
1. 0.170806
2. 0.11138
3. 0.102162
4. 0.106405
5. 0.125122
6. 0.0901828
7. 0.164109
8. 0.113012
9. 0.102609
10. 0.105974
11. 0.106906

1.  
0. 0.063709
1. 0.234798
2. 0.0801495
3. 0.0664063
4. 0.0702039
5. 0.0652472
6. 0.235252
7. 0.0513787
8. 0.0788056
9. 0.538454
10. 0.0685544
11. 0.066521

2.  
0. 0.0662913
1. 0.241493
2. 0.0681078
3. 0.0699862
4. 1.10297
5. 0.101035
6. 0.389784
7. 0.051527
8. 0.074833
9. 0.537929
10. 0.0705292
11. 0.0654807

3.  
0. 0.0675454
1. 0.21962
2. 0.123093
3. 1.39921
4. 1.4386
5. 0.122472
6. 1.38568
7. 1.07981
8. 0.148643
9. 1.06267
10. 0.0672057
11. 1.66193

4.  
0. 0.0648955
1. 0.241399
2. 0.0659451
3. 2.1065
4. 1.29187
5. 0.0992064
6. 1.38574
7. 1.82794
8. 1.53418
9. 0.918824
10. 2.39939
11. 2.17318

5.  
0. 0.161437
1. 0.359481
2. 1.05971
3. 2.17313
4. 1.15093
5. 0.169911
6. 1.39702
7. 1.82342
8. 0.222896
9. 0.980056
10. 0.161956
11. 1.70044

6.  
0. 0.255912
1. 0.267172
2. 0.232315
3. 2.28223
4. 1.04404
5. 0.256001
6. 0.256507
7. 1.01466
8. 0.224329
9. 0.243099
10. 0.226764
11. 0.247885

7.  
0. 0.216858
1. 0.380975
2. 0.223477
3. 1.162
4. 1.8838
5. 0.231855
6. 0.338133
7. 0.259905
8. 0.238121
9. 0.236707
10. 1.42003
11. 1.40596

8.  
0. 2.30045
1. 1.28788
2. 1.40847
3. 1.83798
4. 1.75581
5. 1.99501
6. 0.103939
7. 0.288851
8. 1.2643
9. 1.97385
10. 1.41181
11. 1.96962

9.  
0. 2.85585
1. 1.74101
2. 2.39598
3. 2.30112
4. 2.02356
5. 1.99702
6. 0.327962
7. 1.40799
8. 1.27342
9. 2.0062
10. 1.99609
11. 2.78583

10.  
0. 2.87011
1. 1.60554
2. 2.71515
3. 2.18563
4. 2.23103
5. 1.98733
6. 1.45826
7. 1.28378
8. 2.15284
9. 2.31151
10. 2.00165
11. 3.11744

11.  
0. 2.88569
1. 1.46309
2. 2.65774
3. 2.31843
4. 2.51116
5. 1.97176
6. 0.27602
7. 1.15371
8. 2.33221
9. 2.26062
10. 2.71932
11. 3.40355


Except Background
0.  
0. 0.184219
1. 0.336986
2. 0.227451
3. 0.223142
4. 0.244827
5. 0.274122
6. 0.193034
7. 0.350562
8. 0.24685
9. 0.234947
10. 0.231427
11. 0.218761

30.  
0. 0.126067
1. 0.463235
2. 0.163676
3. 0.145045
4. 0.161532
5. 0.142946
6. 0.503553
7. 0.109753
8. 0.172134
9. 1.23292
10. 0.14971
11. 0.136122

60.  
0. 0.131177
1. 0.476445
2. 0.139085
3. 0.152864
4. 2.53781
5. 0.221352
6. 0.834325
7. 0.11007
8. 0.163457
9. 1.23171
10. 0.154022
11. 0.133993

90.  
0. 0.133659
1. 0.433291
2. 0.251372
3. 0.155929
4. 3.31008
5. 0.268316
6. 0.106092
7. 2.30664
8. 0.324679
9. 2.43322
10. 0.146764
11. 1.88032

120.  
0. 0.128415
1. 0.476258
2. 0.134668
3. 3.4251
4. 2.97246
5. 0.217345
6. 0.109657
7. 3.90475
8. 3.35108
9. 2.10386
10. 0.139921
11. 1.88623

150.  
0. 0.319452
1. 0.709224
2. 2.16406
3. 3.60391
4. 2.64816
5. 0.372246
6. 0.335806
7. 3.89511
8. 0.486869
9. 2.24407
10. 0.353682
11. 2.00958

180.  
0. 0.506397
1. 0.527106
2. 0.474417
3. 3.90647
4. 2.40224
5. 0.560856
6. 0.549048
7. 2.16746
8. 0.489999
9. 0.556633
10. 0.495211
11. 0.507247

210.  
0. 0.429119
1. 0.751629
2. 0.456369
3. 2.53806
4. 4.33442
5. 0.507956
6. 0.723768
7. 0.555197
8. 0.520125
9. 0.541996
10. 0.501363
11. 0.497325

240.  
0. 0.187605
1. 2.54087
2. 0.150516
3. 4.01453
4. 4.03995
5. 0.232329
6. 0.222478
7. 0.617031
8. 2.7616
9. 0.347591
10. 0.204917
11. 0.33828

270.  
0. 1.91
1. 3.43486
2. 2.79416
3. 4.01429
4. 4.65601
5. 0.304259
6. 0.701997
7. 3.00768
8. 2.78151
9. 0.996915
10. 0.272586
11. 2.79351

300.  
0. 1.99764
1. 3.1676
2. 2.56136
3. 3.69353
4. 5.13336
5. 0.324187
6. 0.710165
7. 2.74235
8. 3.60048
9. 2.81172
10. 0.613864
11. 3.98381

330.  
0. 2.1017
1. 2.88654
2. 2.31615
3. 4.06152
4. 4.76928
5. 0.133405
6. 0.590816
7. 2.4645
8. 4.099
9. 2.58569
10. 2.67549
11. 4.87131

