Include Background
1. 0.485083
2. 0.38735
3. 0.3706
4. 0.31797
5. 0.240036
6. 0.276655
7. 0.248131
8. 0.511092
9. 0.304437
10. 0
11. 0.253064
12. 0.34426
13. 0.197024
14. 0.35795
15. 0.199104
16. 0.315174
17. 0.321026
18. 0.685611
19. 0.222656
20. 0.351693
21. 0.0202975
22. 0.51934
23. 0.28236
24. 0.456747
25. 0.203538
26. 0.286544
27. 0.487609
28. 0.70811
29. 0.792468
30. 0.246342
31. 0
32. 0.0706373
33. 0.456095
34. 0.180281
35. 0.230667
36. 0.215765
37. 0.300146
38. 0.466237
39. 0.26294
40. 0.245628
41. 0.345852
42. 0.476338
43. 0.0623778
44. 0.16628
45. 0.258876
46. 0.33028
47. 0.222313
48. 0.41502
49. 0.396595
50. 0.30303
51. 0
52. 0.175521
53. 0.530704
54. 0.315101
55. 0
56. 0.343905
57. 0.090773
58. 0.0344991
59. 0.209048
60. 0.730928
61. 0.159536
62. 0.271168
63. 0.266714

평균: 0.300405

Except Background
1. 0.829092
2. 1.11537
3. 0.774278
4. 0.861197
5. 0.723834
6. 0.663005
7. 0.5429
8. 1.31692
9. 0.73544
10. 0
11. 0.461393
12. 0.607148
13. 0.305916
14. 0.514504
15. 0.416465
16. 0.639709
17. 0.645928
18. 1.78017
19. 0.429727
20. 0.910217
21. 0.0340748
22. 1.11791
23. 0.725458
24. 1.04424
25. 0.422869
26. 0.702198
27. 0.948884
28. 1.47716
29. 1.42004
30. 0.527843
31. 0
32. 0.130866
33. 0.909172
34. 0.345749
35. 0.661035
36. 0.348847
37. 0.596482
38. 0.888226
39. 0.689092
40. 0.662418
41. 0.846722
42. 1.1395
43. 0.144746
44. 0.3815
45. 0.633235
46. 0.550443
47. 0.561482
48. 0.844119
49. 0.914818
50. 0.553309
51. 0
52. 0.342077
53. 1.24235
54. 0.720232
55. 0
56. 0.806924
57. 0.181885
58. 0.0699043
59. 0.411239
60. 1.49208
61. 0.364073
62. 0.555868
63. 0.64904

평균: 0.656053
